raceId,driverId,constructorId,points,constructor_points,grid,pit_stop_time,lap_consistency,last_ingested
18,1,1,10.0,14.0,1,2.5,0.95,2026-04-30 19:04:47
18,2,2,8.0,8.0,5,2.5,0.95,2026-04-30 19:04:47
18,3,3,6.0,9.0,7,2.5,0.95,2026-04-30 19:04:47
18,4,4,5.0,5.0,11,2.5,0.95,2026-04-30 19:04:47
18,5,1,4.0,14.0,3,2.5,0.95,2026-04-30 19:04:47
18,6,3,3.0,9.0,13,2.5,0.95,2026-04-30 19:04:47
18,7,5,2.0,2.0,17,2.5,0.95,2026-04-30 19:04:47
18,8,6,1.0,1.0,15,2.5,0.95,2026-04-30 19:04:47
18,9,2,0.0,8.0,2,2.5,0.95,2026-04-30 19:04:47
18,10,7,0.0,0.0,18,2.5,0.95,2026-04-30 19:04:47
18,11,8,0.0,0.0,19,2.5,0.95,2026-04-30 19:04:47
18,12,4,0.0,5.0,20,2.5,0.95,2026-04-30 19:04:47
18,13,6,0.0,1.0,4,2.5,0.95,2026-04-30 19:04:47
18,14,9,0.0,0.0,8,2.5,0.95,2026-04-30 19:04:47
18,15,7,0.0,0.0,6,2.5,0.95,2026-04-30 19:04:47
18,16,10,0.0,0.0,22,2.5,0.95,2026-04-30 19:04:47
18,17,9,0.0,0.0,14,2.5,0.95,2026-04-30 19:04:47
18,18,11,0.0,0.0,12,2.5,0.95,2026-04-30 19:04:47
18,19,8,0.0,0.0,21,2.5,0.95,2026-04-30 19:04:47
18,20,5,0.0,2.0,9,2.5,0.95,2026-04-30 19:04:47
18,21,10,0.0,0.0,16,2.5,0.95,2026-04-30 19:04:47
18,22,11,0.0,0.0,10,2.5,0.95,2026-04-30 19:04:47
19,8,6,10.0,10.0,2,2.5,0.95,2026-04-30 19:04:47
19,9,2,8.0,11.0,4,2.5,0.95,2026-04-30 19:04:47
19,5,1,6.0,10.0,8,2.5,0.95,2026-04-30 19:04:47
19,15,7,5.0,5.0,3,2.5,0.95,2026-04-30 19:04:47
19,1,1,4.0,10.0,9,2.5,0.95,2026-04-30 19:04:47
19,2,2,3.0,11.0,5,2.5,0.95,2026-04-30 19:04:47
19,17,9,2.0,2.0,6,2.5,0.95,2026-04-30 19:04:47
19,4,4,1.0,1.0,7,2.5,0.95,2026-04-30 19:04:47
19,14,9,0.0,2.0,12,2.5,0.95,2026-04-30 19:04:47
19,18,11,0.0,0.0,11,2.5,0.95,2026-04-30 19:04:47
19,12,4,0.0,1.0,13,2.5,0.95,2026-04-30 19:04:47
19,21,10,0.0,0.0,17,2.5,0.95,2026-04-30 19:04:47
19,22,11,0.0,0.0,14,2.5,0.95,2026-04-30 19:04:47
19,3,3,0.0,0.0,16,2.5,0.95,2026-04-30 19:04:47
19,19,8,0.0,0.0,21,2.5,0.95,2026-04-30 19:04:47
19,11,8,0.0,0.0,19,2.5,0.95,2026-04-30 19:04:47
19,6,3,0.0,0.0,22,2.5,0.95,2026-04-30 19:04:47
19,20,5,0.0,0.0,15,2.5,0.95,2026-04-30 19:04:47
19,13,6,0.0,10.0,1,2.5,0.95,2026-04-30 19:04:47
19,16,10,0.0,0.0,20,2.5,0.95,2026-04-30 19:04:47
19,10,7,0.0,5.0,10,2.5,0.95,2026-04-30 19:04:47
19,7,5,0.0,0.0,18,2.5,0.95,2026-04-30 19:04:47
20,13,6,10.0,18.0,2,2.5,0.95,2026-04-30 19:04:47
20,8,6,8.0,18.0,4,2.5,0.95,2026-04-30 19:04:47
20,9,2,6.0,11.0,1,2.5,0.95,2026-04-30 19:04:47
20,2,2,5.0,11.0,6,2.5,0.95,2026-04-30 19:04:47
20,5,1,4.0,4.0,5,2.5,0.95,2026-04-30 19:04:47
20,15,7,3.0,3.0,7,2.5,0.95,2026-04-30 19:04:47
20,17,9,2.0,2.0,11,2.5,0.95,2026-04-30 19:04:47
20,3,3,1.0,1.0,8,2.5,0.95,2026-04-30 19:04:47
20,10,7,0.0,3.0,13,2.5,0.95,2026-04-30 19:04:47
20,4,4,0.0,0.0,10,2.5,0.95,2026-04-30 19:04:47
20,22,11,0.0,0.0,12,2.5,0.95,2026-04-30 19:04:47
